City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,tungor,53.3808,142.9564,-10.79,81,62,16.08,RU,1672628795
263,cabinda,-5.55,12.2,75.56,90,100,5.84,AO,1672628795
264,baherden,38.4362,57.4316,39.79,61,7,3.98,TM,1672628796
265,goya,-29.14,-59.2626,71.92,94,9,4.21,AR,1672628796
266,vestmannaeyjar,63.4427,-20.2734,39.65,58,100,22.79,IS,1672628796
267,olafsvik,64.8945,-23.7142,37.58,66,100,27.98,IS,1672628689
268,santiago,-33.4569,-70.6483,72.28,45,0,3.33,CL,1672628450
269,saint-pierre,-21.3393,55.4781,76.68,61,0,9.22,RE,1672628797
270,bambanglipuro,-7.95,110.2833,83.88,70,99,14.12,ID,1672628797
271,yar-sale,66.8333,70.8333,-30.57,100,22,6.87,RU,1672628798
272,katherine,-14.4667,132.2667,77.32,88,75,16.11,AU,1672628702
273,luanda,-8.8368,13.2343,76.86,83,100,4.56,AO,1672628798
274,lorengau,-2.0226,147.2712,85.05,69,47,5.99,PG,1672628799
275,harbour breton,47.4833,-55.7983,37.04,89,100,17.92,CA,1672628799
276,torbay,47.6666,-52.7314,37.89,97,100,5.01,CA,1672628799
277,asekeyevo,53.5742,52.7972,32.31,98,100,19.42,RU,1672628800
278,kieta,-6.2167,155.6333,85.82,66,100,10.0,PG,1672628800
279,lompoc,34.6391,-120.4579,53.78,86,75,18.41,US,1672628585
280,nelson bay,-32.7167,152.15,80.65,65,0,3.0,AU,1672628801
281,colac,-38.3333,143.5833,82.17,39,26,12.37,AU,1672628801
282,roald,62.5833,6.1333,34.09,69,75,6.91,NO,1672628801
283,brive-la-gaillarde,45.25,1.5,58.84,19,100,6.6,FR,1672628802
284,sheridan,44.8333,-106.9173,30.31,84,100,0.0,US,1672628738
285,bowen,-20.0167,148.2333,84.43,59,17,20.31,AU,1672628802
286,van,38.4924,43.3831,20.55,73,20,4.61,TR,1672628803
287,cosala,24.4125,-106.6908,61.9,78,39,0.72,MX,1672628803
288,mahibadhoo,3.7833,72.9667,79.83,68,21,11.14,MV,1672628804
289,saldanha,-33.0117,17.9442,64.72,85,0,4.9,ZA,1672628804
290,camopi,3.1655,-52.3158,71.35,100,98,1.88,GF,1672628804
291,lebu,-37.6167,-73.65,55.51,80,0,15.28,CL,1672628805
292,wanning,18.8003,110.3967,65.59,84,100,15.64,CN,1672628805
293,dingle,10.9995,122.6711,81.91,79,100,12.35,PH,1672628806
294,invermere,50.5167,-116.0354,11.1,98,61,1.25,CA,1672628806
295,ostrovnoy,68.0531,39.5131,21.45,93,100,14.41,RU,1672628806
296,upernavik,72.7868,-56.1549,-16.1,90,99,5.32,GL,1672628807
297,cidreira,-30.1811,-50.2056,73.17,93,97,21.21,BR,1672628807
298,rundu,-17.9333,19.7667,65.28,88,84,5.88,NA,1672628807
299,farafangana,-22.8167,47.8333,74.82,83,100,4.23,MG,1672628808
300,okhotsk,59.3833,143.3,-5.04,76,100,20.04,RU,1672628808
301,san fernando,15.0286,120.6898,89.33,54,44,11.74,PH,1672628808
302,ossora,59.2353,163.0719,-3.73,92,100,5.86,RU,1672628809
303,gizo,-8.103,156.8419,85.03,70,91,10.27,SB,1672628809
304,qui nhon,13.7667,109.2333,73.26,80,100,17.4,VN,1672628776
305,naze,28.3667,129.4833,60.69,59,43,9.44,JP,1672628525
306,iisalmi,63.5592,27.1907,27.01,88,7,10.67,FI,1672628810
307,olinda,-8.0089,-34.8553,80.33,74,40,9.22,BR,1672628810
308,paita,-5.0892,-81.1144,69.6,75,100,13.8,PE,1672628811
309,port lincoln,-34.7333,135.8667,70.45,65,4,17.18,AU,1672628811
310,cockburn town,21.4612,-71.1419,78.04,76,0,16.44,TC,1672628811
311,chapais,49.7834,-74.8492,17.38,98,98,2.59,CA,1672628812
312,kilindoni,-7.9139,39.6668,80.69,74,22,8.41,TZ,1672628812
